"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","HHDI","NET","AGRWTH","A","1979",6.2489192523512,
"KOR","HHDI","NET","AGRWTH","A","1980",-8.20329099227574,
"KOR","HHDI","NET","AGRWTH","A","1981",5.84551817248262,
"KOR","HHDI","NET","AGRWTH","A","1982",8.62606791030179,
"KOR","HHDI","NET","AGRWTH","A","1983",10.2136000447658,
"KOR","HHDI","NET","AGRWTH","A","1984",11.0564393016476,
"KOR","HHDI","NET","AGRWTH","A","1985",7.52716512160762,
"KOR","HHDI","NET","AGRWTH","A","1986",14.6492495901717,
"KOR","HHDI","NET","AGRWTH","A","1987",12.2085133821384,
"KOR","HHDI","NET","AGRWTH","A","1988",11.4962686796625,
"KOR","HHDI","NET","AGRWTH","A","1989",8.21473846787334,
"KOR","HHDI","NET","AGRWTH","A","1990",8.78150142993848,
"KOR","HHDI","NET","AGRWTH","A","1991",11.2285965289236,
"KOR","HHDI","NET","AGRWTH","A","1992",4.8003516858824,
"KOR","HHDI","NET","AGRWTH","A","1993",4.93063116203975,
"KOR","HHDI","NET","AGRWTH","A","1994",6.69309223186773,
"KOR","HHDI","NET","AGRWTH","A","1995",6.48729484514722,
"KOR","HHDI","NET","AGRWTH","A","1996",6.35487508689063,
"KOR","HHDI","NET","AGRWTH","A","1997",1.93611113311623,
"KOR","HHDI","NET","AGRWTH","A","1998",-3.09782768958289,
"KOR","HHDI","NET","AGRWTH","A","1999",2.58737517162855,
"KOR","HHDI","NET","AGRWTH","A","2000",0.830721080920143,
"KOR","HHDI","NET","AGRWTH","A","2001",2.02552490820079,
"KOR","HHDI","NET","AGRWTH","A","2002",3.99184126065712,
"KOR","HHDI","NET","AGRWTH","A","2003",3.36015348320725,
"KOR","HHDI","NET","AGRWTH","A","2004",3.81522679831752,
"KOR","HHDI","NET","AGRWTH","A","2005",2.76093405626734,
"KOR","HHDI","NET","AGRWTH","A","2006",3.83403713323894,
"KOR","HHDI","NET","AGRWTH","A","2007",3.05424337164646,
"KOR","HHDI","NET","AGRWTH","A","2008",1.67938814924984,
"KOR","HHDI","NET","AGRWTH","A","2009",1.78235687490872,
"KOR","HHDI","NET","AGRWTH","A","2010",3.59285048707654,
